date,ticker,open,high,low,close,volume
10/15/2022,FPT,49.34,49.34,49,49,663910
10/16/2022,FPT,49.34,49.51,49,49.08,829050
10/17/2022,FPT,49,49.08,48.31,48.4,1621590
10/18/2022,FPT,48.48,49.17,48.31,48.74,1447340
10/21/2022,FPT,49,49,48.06,48.23,1260490
10/22/2022,FPT,48.23,48.31,47.55,48.06,1534380
10/23/2022,FPT,47.97,48.66,47.89,48.14,747810
10/24/2022,FPT,48.48,49.68,48.14,49.68,2233890
10/25/2022,FPT,49.76,49.94,49.25,49.51,1355310
10/28/2022,FPT,49.51,50.19,49.34,49.59,1494820
10/29/2022,FPT,49.68,49.76,49.34,49.42,953020
10/30/2022,FPT,49.34,49.59,49.17,49.34,1102070
10/31/2022,FPT,49.51,50.11,49.34,49.42,1263390
11/1/2022,FPT,49.51,50.11,49.17,49.94,1732950
11/4/2022,FPT,50.11,51.64,50.11,51.13,5811560
11/5/2022,FPT,51.22,51.3,50.7,51.05,1239520
11/6/2022,FPT,51.05,51.56,50.79,50.79,1551610
11/7/2022,FPT,50.79,51.13,50.53,50.79,1438030
11/8/2022,FPT,51.05,51.05,50.53,50.87,1219540
11/11/2022,FPT,51.05,51.73,50.79,51.22,2180490
11/12/2022,FPT,51.22,52.33,51.22,52.07,2842650
11/13/2022,FPT,52.24,52.33,51.64,51.64,1333940
11/14/2022,FPT,51.64,52.07,49.08,49.76,4799390
11/15/2022,FPT,49.76,50.19,49.25,50.02,2568040
11/18/2022,FPT,49.85,50.19,48.74,49.08,2794920
11/19/2022,FPT,49.17,49.76,49.08,49.76,1059770
11/20/2022,FPT,49.68,49.68,48.31,48.48,2291760
11/21/2022,FPT,48.48,48.74,47.72,47.8,3303950
11/22/2022,FPT,48.06,48.74,47.37,47.8,1625820
11/25/2022,FPT,47.89,48.66,47.63,48.31,1087990
11/26/2022,FPT,48.66,48.83,48.48,48.74,968690
11/27/2022,FPT,48.83,49,48.57,48.66,812280
11/28/2022,FPT,48.57,48.57,47.63,47.8,1370820
11/29/2022,FPT,47.8,48.48,47.63,48.14,739370
12/2/2022,FPT,48.23,48.23,46.61,46.61,1992380
12/3/2022,FPT,46.27,47.12,45.5,46.52,1619120
12/4/2022,FPT,46.52,47.37,46.09,47.29,932130
12/5/2022,FPT,47.37,47.63,46.78,46.86,1144000
12/6/2022,FPT,46.95,47.29,46.69,46.95,556160
12/9/2022,FPT,47.12,47.63,46.95,47.2,700960
12/10/2022,FPT,47.2,47.63,46.78,47.37,797100
12/11/2022,FPT,47.37,48.31,47.12,48.23,877960
12/12/2022,FPT,48.48,48.83,48.4,48.66,942410
12/13/2022,FPT,48.83,49.08,48.57,48.74,1681700
12/16/2022,FPT,48.74,48.74,48.14,48.23,968130
12/17/2022,FPT,47.97,48.14,47.03,47.29,2211360
12/18/2022,FPT,47.29,47.8,46.95,47.37,1022490
12/19/2022,FPT,47.37,47.97,47.29,47.63,817820
12/20/2022,FPT,47.8,48.4,47.63,48.23,777100
12/23/2022,FPT,48.57,48.66,47.8,47.89,766000
12/24/2022,FPT,48.06,48.23,47.89,48.14,692100
12/25/2022,FPT,48.14,49.42,48.14,49.08,1604350
12/26/2022,FPT,49.34,49.59,49,49,1124500
12/27/2022,FPT,49,49.34,48.48,49.17,1004860
12/30/2022,FPT,49.34,50.28,49.17,50.02,2881060
12/31/2022,FPT,50.02,50.11,49.51,49.76,689030
1/2/2023,FPT,49.76,50.36,49.51,50.02,896720
1/3/2023,FPT,50.28,50.45,49,49.17,2047880
1/6/2023,FPT,48.74,49.17,48.48,48.66,1091660
1/7/2023,FPT,48.91,49.59,48.66,49.59,837240
1/8/2023,FPT,49.08,49.25,48.48,48.48,1814290
1/9/2023,FPT,48.91,49.25,48.74,49.17,967050
1/10/2023,FPT,49.08,49.34,48.74,49.08,1018650
1/13/2023,FPT,49,49.17,48.66,48.74,786760
1/14/2023,FPT,48.74,49,48.66,48.66,721680
1/15/2023,FPT,48.66,48.74,48.48,48.66,940870
1/16/2023,FPT,48.66,49.68,48.66,49.51,1942970
1/17/2023,FPT,49.51,49.59,48.66,49.17,1388810
1/20/2023,FPT,49.08,49.51,48.83,49,1227100
1/21/2023,FPT,49.34,49.51,47.37,47.37,4351820
1/22/2023,FPT,46.95,48.23,46.69,48.23,3165650
1/30/2023,FPT,47.2,47.63,46.01,46.69,2638460
1/31/2023,FPT,46.09,46.86,44.39,44.39,4118150
2/3/2023,FPT,42.34,44.81,41.83,43.96,3602970
2/4/2023,FPT,44.64,44.73,43.53,44.22,1651440
2/5/2023,FPT,44.64,45.07,44.39,44.39,1648620
2/6/2023,FPT,44.81,45.75,44.22,45.75,1708550
2/7/2023,FPT,45.41,45.67,45.07,45.5,1218660
2/10/2023,FPT,44.73,45.24,44.47,44.9,738090
2/11/2023,FPT,45.16,45.84,44.98,45.75,1085380
2/12/2023,FPT,45.92,46.69,45.84,46.18,1104870
2/13/2023,FPT,46.18,46.44,45.84,46.35,1030570
2/14/2023,FPT,46.18,46.52,46.09,46.52,884240
2/17/2023,FPT,46.61,46.61,46.09,46.27,726390
2/18/2023,FPT,46.44,47.8,46.35,47.8,1760940
2/19/2023,FPT,47.72,47.97,47.37,47.55,681250
2/20/2023,FPT,47.89,48.14,47.37,47.63,780810
2/21/2023,FPT,47.72,47.72,46.69,46.69,1458040
2/24/2023,FPT,45.33,46.01,44.81,44.81,2261990
2/25/2023,FPT,44.47,46.09,44.39,46.09,1407720
2/26/2023,FPT,45.58,47.12,45.24,46.95,3221270
2/27/2023,FPT,46.95,48.23,46.61,47.8,2927040
2/28/2023,FPT,46.95,47.55,46.61,47.03,2132200
3/2/2023,FPT,47.03,47.97,46.78,47.55,1787060
3/3/2023,FPT,47.97,48.57,47.55,47.72,1193800
3/4/2023,FPT,47.37,47.37,46.86,47.37,1660790
3/5/2023,FPT,47.37,47.72,46.61,46.61,1296450
3/6/2023,FPT,46.27,46.35,45.67,46.09,1305030
3/9/2023,FPT,43.7,44.39,42.94,42.94,4735140
3/10/2023,FPT,43.53,44.39,42.94,44.13,2030340
3/11/2023,FPT,44.39,44.81,42.25,43.36,2753310
3/12/2023,FPT,41.48,42.08,40.38,41.06,3981670
3/13/2023,FPT,38.67,42.68,38.58,41.1,2919140
3/16/2023,FPT,41.1,42.42,40.55,40.63,1898960
3/17/2023,FPT,40.12,41.4,39.69,41.4,2474650
3/18/2023,FPT,41.83,41.91,41.27,41.31,1642800
3/19/2023,FPT,40.63,41.06,40.63,40.72,1296590
3/20/2023,FPT,41.14,41.19,40.42,40.72,1291360
3/23/2023,FPT,39.35,39.82,37.9,37.9,2826690
3/24/2023,FPT,38.41,38.41,37.13,37.99,2191500
3/25/2023,FPT,39.27,39.61,38.54,39.27,2131790
3/26/2023,FPT,38.84,39.14,37.73,37.73,2358310
3/27/2023,FPT,37.9,37.9,36.62,36.79,2633750
